"","drug_name","category1","category2"
"2077","dovitinib","Protein Tyrosine Kinase/RTK","FLT3, c-Kit, FGFR, VEGFR, PDGFR, c-Fms"
"2078","plx647","Protein Tyrosine Kinase/RTK","c-Fms, c-Kit"
"2079","lenvatinib","Protein Tyrosine Kinase/RTK","VEGFR, FGFR, PDGFR, c-Kit, RET"
"2080","telatinib","Protein Tyrosine Kinase/RTK","c-Kit, PDGFR, VEGFR"
"2081","motesanib","Protein Tyrosine Kinase/RTK","c-Kit, VEGFR"
"2082","toceranib","Protein Tyrosine Kinase/RTK","PDGFR, VEGFR, c-Kit"
"2083","foretinib","Protein Tyrosine Kinase/RTK","VEGFR, c-Met/HGFR"
"2084","savolitinib","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2085","ly2801653","Protein Tyrosine Kinase/RTK","c-Met/HGFR, FLT3, ROS Kinase, Discoidin Domain Receptor"
"2086","bms-777607","Protein Tyrosine Kinase/RTK","c-Met/HGFR, TAM Receptor"
"2087","jnj-38877605","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2088","golvatinib","Protein Tyrosine Kinase/RTK","c-Met/HGFR, VEGFR"
"2089","altiratinib","Protein Tyrosine Kinase/RTK, Neuronal Signaling","VEGFR, c-Met/HGFR, FLT3, Trk Receptor"
"2090","pf-04217903","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2091","mk-2461","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2092","mk-8033","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2093","amg-208","Protein Tyrosine Kinase/RTK, Metabolic Enzyme/Protease","c-Met/HGFR, Cytochrome P450"
"2094","nvp-bvu972","Protein Tyrosine Kinase/RTK","c-Met/HGFR"
"2095","ddr1-in-1","Protein Tyrosine Kinase/RTK","Discoidin Domain Receptor"
"2096","nvp-bhg712","Protein Tyrosine Kinase/RTK","Ephrin Receptor"
"2097","nintedanib","Protein Tyrosine Kinase/RTK","PDGFR, VEGFR, FGFR"
"2098","azd4547","Protein Tyrosine Kinase/RTK","FGFR"
"2099","blu9931","Protein Tyrosine Kinase/RTK","FGFR"
"2100","ly2874455","Protein Tyrosine Kinase/RTK","FGFR"
"2101","lucitanib","Protein Tyrosine Kinase/RTK","VEGFR, FGFR"
"2102","actb-1003","Protein Tyrosine Kinase/RTK","FGFR, VEGFR"
"2103","gilteritinib","Protein Tyrosine Kinase/RTK","FLT3, TAM Receptor"
"2104","unc2025","Protein Tyrosine Kinase/RTK","FLT3"
"2105","tcs-359","Protein Tyrosine Kinase/RTK","FLT3"
"2106","gtp-14564","Protein Tyrosine Kinase/RTK","FLT3"
"2107","linsitinib","Protein Tyrosine Kinase/RTK","IGF-1R, Insulin Receptor"
"2108","bms-754807","Protein Tyrosine Kinase/RTK","IGF-1R, Insulin Receptor"
"2109","axitinib","Protein Tyrosine Kinase/RTK","VEGFR, PDGFR"
"2110","cp-673451","Protein Tyrosine Kinase/RTK","PDGFR"
"2111","tak-593","Protein Tyrosine Kinase/RTK","PDGFR, VEGFR"
"2112","trapidil","Protein Tyrosine Kinase/RTK","PDGFR"
"2113","su4312","Protein Tyrosine Kinase/RTK","PDGFR, VEGFR"
"2114","su16f","Protein Tyrosine Kinase/RTK","PDGFR"
"2115","spp86","Protein Tyrosine Kinase/RTK","RET"
"2116","ldc1267","Protein Tyrosine Kinase/RTK","TAM Receptor"
"2117","unc2250","Protein Tyrosine Kinase/RTK","TAM Receptor"
"2118","ana-12","Neuronal Signaling, Protein Tyrosine Kinase/RTK","Trk Receptor"
"2119","gnf-5837","Neuronal Signaling, Protein Tyrosine Kinase/RTK","Trk Receptor"
"2120","tanshinone-iia","Protein Tyrosine Kinase/RTK","VEGFR"
"2121","fruquintinib","Protein Tyrosine Kinase/RTK","VEGFR"
"2122","tivozanib","Protein Tyrosine Kinase/RTK","VEGFR"
"2123","sar131675","Protein Tyrosine Kinase/RTK","VEGFR"
"2124","krn-633","Protein Tyrosine Kinase/RTK","VEGFR"
"2125","zm-306416","Protein Tyrosine Kinase/RTK","VEGFR"
"2126","vatalanib","Protein Tyrosine Kinase/RTK, Apoptosis","VEGFR, Apoptosis"
"2127","dmh4","Protein Tyrosine Kinase/RTK","VEGFR"
"2128","gant-58","Stem Cell/Wnt","Gli"
"2129","sant-1","Stem Cell/Wnt","Smo, Hedgehog"
"2130","hh-ag1.5","Stem Cell/Wnt","Hedgehog"
"2131","ru-ski-43","Stem Cell/Wnt","Hedgehog"
"2132","sant-2","Stem Cell/Wnt","Hedgehog"
"2133","semagacestat","Neuronal Signaling, Stem Cell/Wnt","γ-secretase, Amyloid-β, Notch"
"2134","avagacestat","Neuronal Signaling, Stem Cell/Wnt","γ-secretase, Notch"
"2135","oac2","Stem Cell/Wnt","Oct3/4"
"2136","o4i1","Stem Cell/Wnt","Oct3/4"
"2137","wnt-c59","Stem Cell/Wnt","Porcupine, Wnt"
"2138","etc-159","Stem Cell/Wnt","Porcupine, Wnt"
"2139","iwp-l6","Stem Cell/Wnt","Porcupine"
"2140","way-316606","Stem Cell/Wnt","sFRP-1"
"2141","sag","Stem Cell/Wnt","Smo"
"2142","sonidegib","Stem Cell/Wnt","Smo"
"2143","glasdegib","Stem Cell/Wnt","Smo"
"2144","dy131","Vitamin D Related/Nuclear Receptor, Stem Cell/Wnt","Estrogen Receptor/ERR, Smo"
"2145","taladegib","Stem Cell/Wnt","Smo"
"2146","pf-5274857","Stem Cell/Wnt","Smo"
"2147","halcinonide","Stem Cell/Wnt","Smo"
"2148","sis3","Stem Cell/Wnt, TGF-beta/Smad","TGF-beta/Smad"
"2149","kartogenin","Stem Cell/Wnt, TGF-beta/Smad","TGF-beta/Smad"
"2150","icrt-14","Stem Cell/Wnt","Wnt"
"2151","ky02111","Stem Cell/Wnt","Wnt"
"2152","exo-iwr-1","Stem Cell/Wnt","Wnt"
"2153","foxy-5","Stem Cell/Wnt","Wnt"
"2154","cardionogen-1","Stem Cell/Wnt","Wnt"
"2155","e-2012","Neuronal Signaling, Stem Cell/Wnt","γ-secretase"
"2156","mrk-560","Neuronal Signaling, Stem Cell/Wnt","γ-secretase"
"2157","begacestat","Neuronal Signaling, Stem Cell/Wnt","γ-secretase"
"2158","a 83-01","TGF-beta/Smad","TGF-β Receptor"
"2159","ly2157299","TGF-beta/Smad","TGF-β Receptor"
"2160","ldn193189","TGF-beta/Smad","TGF-β Receptor"
"2161","repsox","TGF-beta/Smad","TGF-β Receptor"
"2162","sb-525334","TGF-beta/Smad","TGF-β Receptor"
"2163","ew-7197","TGF-beta/Smad","TGF-β Receptor"
"2164","ly-364947","TGF-beta/Smad","TGF-β Receptor"
"2165","sb-505124","TGF-beta/Smad","TGF-β Receptor"
"2166","ldn-212854","TGF-beta/Smad","TGF-β Receptor"
"2167","itd-1","TGF-beta/Smad","TGF-β Receptor"
"2168","ml347","TGF-beta/Smad","TGF-β Receptor"
"2169","sd-208","TGF-beta/Smad","TGF-β Receptor"
"2170","k02288","TGF-beta/Smad","TGF-β Receptor"
"2171","fps-zm1","Neuronal Signaling","Amyloid-β"
"2172","azeliragon","Neuronal Signaling","Amyloid-β"
"2173","geniposide","Neuronal Signaling, Anti-infection","Amyloid-β, Influenza Virus"
"2174","glimepiride","Neuronal Signaling","Amyloid-β"
"2175","tramiprosate","Neuronal Signaling","Amyloid-β"
"2176","phenserine","Neuronal Signaling","Cholinesterase (ChE), Amyloid-β"
"2177","jlk-6","Neuronal Signaling","Amyloid-β"
"2178","protriptyline","Neuronal Signaling","Cholinesterase (ChE), Amyloid-β"
"2179","ly2886721","Neuronal Signaling","Beta-secretase"
"2180","ly2811376","Neuronal Signaling","Beta-secretase"
"2181","donepezil","Neuronal Signaling","Cholinesterase (ChE)"
"2182","rivastigmine","Neuronal Signaling","Cholinesterase (ChE)"
"2183","tacrine","Neuronal Signaling","Cholinesterase (ChE)"
"2184","chlorpyrifos","Neuronal Signaling","Cholinesterase (ChE)"
"2185","pralidoxime-chloride","Neuronal Signaling","Cholinesterase (ChE)"
"2186","ipidacrine","Neuronal Signaling","Cholinesterase (ChE)"
"2187","physostigmine","Neuronal Signaling","Cholinesterase (ChE)"
"2188","pralidoxime","Neuronal Signaling","Cholinesterase (ChE)"
"2189","desoxypeganine","Neuronal Signaling","Cholinesterase (ChE), Monoamine Oxidase"
"2190","entacapone","Metabolic Enzyme/Protease, Neuronal Signaling","COMT"
"2191","opicapone","Metabolic Enzyme/Protease, Neuronal Signaling","COMT"
"2192","nitecapone","Metabolic Enzyme/Protease, Neuronal Signaling","COMT"
"2193","gbr-12935","Neuronal Signaling","Dopamine Transporter"
"2194","vanoxerine","Neuronal Signaling","Dopamine Transporter"
"2195","diclofensine","Neuronal Signaling","Dopamine Transporter"
"2196","jnj-1661010","Metabolic Enzyme/Protease, Neuronal Signaling","FAAH"
"2197","miglustat","Neuronal Signaling","Glucosylceramide Synthase (GCS)"
"2198","genz-123346","Neuronal Signaling","Glucosylceramide Synthase (GCS)"
"2199","moxonidine","Neuronal Signaling","Imidazoline Receptor"
"2200","pargyline","Neuronal Signaling","Monoamine Oxidase"
"2201","moclobemide","Neuronal Signaling","Monoamine Oxidase"
"2202","rasagiline","Neuronal Signaling","Monoamine Oxidase"
"2203","iproniazid","Neuronal Signaling","Monoamine Oxidase"
"2204","safinamide","Neuronal Signaling","Monoamine Oxidase"
"2205","nialamide","Neuronal Signaling","Monoamine Oxidase"
"2206","isocarboxazid","Neuronal Signaling","Monoamine Oxidase"
"2207","toloxatone","Neuronal Signaling","Monoamine Oxidase"
"2208","lazabemide","Neuronal Signaling","Monoamine Oxidase"
"2209","eprobemide","Neuronal Signaling","Monoamine Oxidase"
"2210","pirlindole","Neuronal Signaling, Anti-infection","Monoamine Oxidase, Enterovirus"
"2211","minaprine","Neuronal Signaling","Monoamine Oxidase"
"2212","tranylcypromine","Neuronal Signaling","Monoamine Oxidase"
"2213","fluvoxamine","Neuronal Signaling","Serotonin Transporter"
"2214","citalopram","Neuronal Signaling","Serotonin Transporter"
"2215","escitalopram","Neuronal Signaling","Serotonin Transporter"
"2216","indalpine","Neuronal Signaling","Serotonin Transporter"
"2217","clomipramine","Neuronal Signaling","Serotonin Transporter"
"2218","dapoxetine","Neuronal Signaling","Serotonin Transporter"
"2219","duloxetine","Neuronal Signaling","Serotonin Transporter"
"2220","milnacipran","Neuronal Signaling","Serotonin Transporter"
"2221","venlafaxine","Neuronal Signaling","Serotonin Transporter"
"2222","ditolylguanidine","Neuronal Signaling","Sigma Receptor"
"2223","4-ibp","Neuronal Signaling","Sigma Receptor"
"2224","cutamesine","Neuronal Signaling","Sigma Receptor"
"2225","siramesine","Neuronal Signaling","Sigma Receptor"
"2226","a-1120","Neuronal Signaling","Transthyretin (TTR)"
"2227","medroxyprogesterone-acetate","Vitamin D Related/Nuclear Receptor, Immunology/Inflammation, Metabolic Enzyme/Protease","Progesterone Receptor, Androgen Receptor, Glucocorticoid Receptor, Endogenous Metabolite"
"2228","darolutamide","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2229","ostarine","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2230","flutamide","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2231","danazol","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2232","azd3514","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2233","asc-j9","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2234","nilutamide","Vitamin D Related/Nuclear Receptor, Anti-infection","Androgen Receptor, Parasite"
"2235","ly2452473","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2236","cyproterone-acetate","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2237","epiandrosterone","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Androgen Receptor, Endogenous Metabolite"
"2238","adrenosterone","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Androgen Receptor, Endogenous Metabolite"
"2239","andarine","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2240","mk-0773","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2241","glpg0492","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2242","ru-58841","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2243","glpg0492-r-enantiomer","Vitamin D Related/Nuclear Receptor","Androgen Receptor"
"2244","estradiol","Induced Disease Models Products, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Anti-infection","Immunology and Inflammatory Disease Models, Estrogen Receptor/ERR, Endogenous Metabolite, Bacterial"
"2245","cholesterol","Induced Disease Models Products, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Anti-infection","Cardiovascular System Disease Models, Liposome, Estrogen Receptor/ERR, Endogenous Metabolite, Bacterial"
"2246","g-1","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2247","phtpp","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2248","estradiol-benzoate","Vitamin D Related/Nuclear Receptor, Anti-infection, Apoptosis","Estrogen Receptor/ERR, HBV, Bcl-2 Family"
"2249","estrone","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Estrogen Receptor/ERR, Endogenous Metabolite"
"2250","ppt","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2251","azd9496","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2252","chrysin","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2253","bazedoxifene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2254","estradiol-cypionate","Vitamin D Related/Nuclear Receptor, Apoptosis","Estrogen Receptor/ERR, Apoptosis"
"2255","diethylstilbestrol","Vitamin D Related/Nuclear Receptor, Apoptosis, Autophagy","Estrogen Receptor/ERR, Apoptosis, Autophagy"
"2256","estriol","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Estrogen Receptor/ERR, Endogenous Metabolite"
"2257","equilin","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2258","gdc-0810","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2259","way-200070","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2260","hexestrol","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2261","dienestrol","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2262","ospemifene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2263","erteberel","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2264","mestranol","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2265","quinestrol","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2266","gestrinone","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2267","raloxifene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2268","chlorotrianisene","Vitamin D Related/Nuclear Receptor, Immunology/Inflammation","Estrogen Receptor/ERR, COX"
"2269","promestriene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2270","estropipate","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2271","endoxifen","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Anti-infection","Cytochrome P450, Estrogen Receptor/ERR, Drug Metabolite, Parasite"
"2272","estetrol","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Estrogen Receptor/ERR, Endogenous Metabolite"
"2273","toremifene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2274","lasofoxifene","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2275","ferb-033","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2276","ac-186","Vitamin D Related/Nuclear Receptor","Estrogen Receptor/ERR"
"2277","hydrocortisone","Induced Disease Models Products, Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Immunology and Inflammatory Disease Models, Glucocorticoid Receptor, Endogenous Metabolite"
"2278","prednisolone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Glucocorticoid Receptor, Endogenous Metabolite"
"2279","budesonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2280","triamcinolone-acetonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Protein Tyrosine Kinase/RTK","Glucocorticoid Receptor, FGFR"
"2281","mometasone-furoate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2282","cortisone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Glucocorticoid Receptor, Endogenous Metabolite"
"2283","triamcinolone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor, Interleukin Related"
"2284","cortodoxone","Induced Disease Models Products, Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Immunology and Inflammatory Disease Models, Glucocorticoid Receptor, Endogenous Metabolite"
"2285","fluticasone-propionate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Anti-infection, Metabolic Enzyme/Protease","Glucocorticoid Receptor, Enterovirus, Endogenous Metabolite"
"2286","cortisone-acetate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Glucocorticoid Receptor, Endogenous Metabolite"
"2287","ciclesonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2288","fluorometholone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2289","amcinonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2290","fluocinolone-acetonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Stem Cell/Wnt","Glucocorticoid Receptor, Wnt"
"2291","desonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2292","hydrocortisone-acetate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Glucocorticoid Receptor, Endogenous Metabolite"
"2293","deflazacort","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2294","fluocinonide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2295","betamethasone-valerate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2296","prednisolone-hemisuccinate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2297","mometasone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2298","clobetasone-butyrate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2299","gsk9027","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2300","prednicarbate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2301","methylprednisolone-aceponate","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor","Glucocorticoid Receptor"
"2302","lxr-623","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor","LXR"
"2303","deoxycorticosterone-acetate","Induced Disease Models Products, Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor","Cardiovascular System Disease Models, Urinary System Disease Models, Mineralocorticoid Receptor, Endogenous Metabolite"
"2304","eplerenone","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor","Mineralocorticoid Receptor, Endogenous Metabolite"
"2305","canrenone","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor","Mineralocorticoid Receptor, Endogenous Metabolite"
"2306","desoxycorticosterone-pivalate","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor","Mineralocorticoid Receptor"
"2307","progesterone","Induced Disease Models Products, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease","Skin Disease Models, Progesterone Receptor, Endogenous Metabolite"
"2308","medroxyprogesterone","Vitamin D Related/Nuclear Receptor","Progesterone Receptor"
"2309","levonorgestrel","Apoptosis","Apoptosis, Caspase, Bcl-2 Family, Survivin"
"2310","dienogest","Vitamin D Related/Nuclear Receptor","Progesterone Receptor"
